treatment,transnum,transect,site,altitude,transpair,slope,quad,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,eshrub,eshrub,eshrub,eshrub,eshrub,eshrub,eshrub,dshrub,conifer,conifer,crust,litter,soil,rock,rockcrust
near,5,TM-5,TM,1587.8,3,11,5,0,0,0.5,0,1,0,0,0.5,0,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0.5,25,0,0,0,0.5,0,10,0,0,0,10
near,5,TM-5,TM,1587.8,3,11,6,0,0,0.5,0,0.5,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,1,30,0,0,0,1,0,25,0,0,0,25
near,5,TM-5,TM,1587.8,3,11,7,0,0,0,0,5,0,0.5,0.5,0,15,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,25,0,0,0,1,0,15,0,0,0,15
near,5,TM-5,TM,1587.8,3,11,8,0,0,0,0,0,0,0,0.5,0,15,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.5,15,10,0,5,20,0,0,0,0,0,10,0,0,0,10
near,5,TM-5,TM,1587.8,3,11,9,0,0,0,0,0,0,0.5,1,0,15,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,10,30,0,0,0,0,0,0,0,15,0,0
near,5,TM-5,TM,1587.8,3,11,10,0,0,0,0,1,0,0,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,30,0,0,0,0.5,10,0,0,5,0,0
far,6,TM-6,TM,1588,3,11,1,0,0,15,0,0,0,0.5,0.5,0,1,0,0,5,0,0,0,0,0.5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,5,70,0,0,35,0,0,0,0,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,2,0,0,10,0,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0,0.5,5,0,5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,10,5,0,5,20,0,0,0,0.5,0,0,5,0,0,0
far,6,TM-6,TM,1588,3,11,3,0,0,10,0,0,0,0.5,0.5,0,0.5,0,0,5,0,0,0,0,0.5,25,0,1,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,4,0,0,15,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,1,30,0,0.5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,5,0,0,10,1,0,0,1,0.5,5,0,0,0,5,0,0,0,0,1,30,0,0.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,6,0,0,15,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,30,0,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,7,0,0,15,0,0,0,0.5,0,0.5,0,0,0,15,0,0,0,0,0,5,0,0.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,0,10,1,0,0.5,25,0,0,20,0,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,8,0,0,1,0,0,0,0,0,15,0.5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,30,0,0,15,5,0,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,9,0,0,0,0,5,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,5,0,0,5,50,70,0,0,0,0,0
far,6,TM-6,TM,1588,3,11,10,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20,20,0,5,20,0,0,0,0,0,10,10,0,0,10
near,7,TM-7,TM,1668.5,4,3,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,0,0,20,0,0,0,0,0,0,0,70,0,0
near,7,TM-7,TM,1668.5,4,3,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,90,0,0
near,7,TM-7,TM,1668.5,4,3,3,0,0,0,0,1,0,0,0.5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,30,0,0,0,0.5,0,0,0,65,0,0
near,7,TM-7,TM,1668.5,4,3,4,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,0,0,50,0,0,0,5,0,0,10,15,0,0
near,7,TM-7,TM,1668.5,4,3,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,15,0,0,0,0,0,0,0,60,0,0
near,7,TM-7,TM,1668.5,4,3,6,0,0,0,0,25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,25,0,0,0,0,0,0,0,50,0,0
near,7,TM-7,TM,1668.5,4,3,7,0,0,0,0,0,0,0.5,0,0,10,25,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,40,0,0,0,5,10,0,0,30,0,0
near,7,TM-7,TM,1668.5,4,3,8,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,0,0,45,0,0,0,0,0,0,0,30,0,0
near,7,TM-7,TM,1668.5,4,3,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,25,0,0,0,0,0,0,0,40,0,0
near,7,TM-7,TM,1668.5,4,3,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,0,30,0,0,0,0,0,0,0,35,0,0
far,8,TM-8,TM,1668.5,4,5,1,0,0,0,0,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,5,0,0,0,1,5,10,15,0,0,10
far,8,TM-8,TM,1668.5,4,5,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,10,0,0,10,0,0,0,0,0,15,10,0,0,15
far,8,TM-8,TM,1668.5,4,5,3,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,15,0,0,0,0.5,0,20,10,0,0,20
