treatment,commun,site,transect,altitude,slope,quad,trans.pair,trans.no,antmed,antros,antumb,arnlat,callep,caspar,dipsit,epiana,erigla,erygra,hietri,leppyr,luepec,luparc,mictol,penpro,potfla,pusocc,ranesc,solmul,tonlya,valsti,verwor,agrcap,danint,fesbra,poaalp,vahatr,carhas,carnar,carnig,carspe,schacu,jundru,luzpip,aulpal,braspp,bryosp1,bryosp2,bucsud,cerpur,dicoly,dicpal,ditspp,meilya,nipelo,nipmut,nippyg,phifon,pohnut,polpil,polspp,rhysqu,rhyrob,scioed,strcon,barhat,lopven,crust,vacmem,vacova,casmer,gauhum,kalmic,phyemp,phygla,phyint,salbar,salcom,sorsit,abilas,tsumer,soil,litter,rock
near,vac/phy,2,BT-9,1698.2,8,6,5,9,,,,,,,,,,,,,15,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1,,,,0.5,,,,,,,,,,,,,,,20,,,,10,,,,,,,,30,,
near,vac/phy,2,BT-9,1698.2,8,7,5,9,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5,,,,,,,,0.5,,,,,,,,,,15,,,,15,,,,,,,,30,,
near,vac/phy,2,BT-9,1698.2,8,8,5,9,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,15,,,,10,,,,,,,,30,,
near,vac/phy,2,BT-9,1698.2,8,9,5,9,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.5,,,,,,,,,,15,,,,15,,,,,,,,15,,
near,vac/phy,2,BT-9,1698.2,8,10,5,9,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,10,,,,20,,,,,,,,35,,
far,vac/phy,2,BT-10,1698.4,9,1,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,5,,0.5,,,,,,,,,,,,,,,,30,,,,15,,,,,,,,,80,
far,vac/phy,2,BT-10,1698.4,9,2,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,1,,,,,25,,,,10,,,,,,,,,80,
far,vac/phy,2,BT-10,1698.4,9,3,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,5,,,,,15,,,,20,,,,,,,,,60,
far,vac/phy,2,BT-10,1698.4,9,4,5,10,,,,0.5,,,,,,,,,1,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.5,,,10,,,,30,,,,,,,,,60,
far,vac/phy,2,BT-10,1698.4,9,5,5,10,,,,5,,,,,,,0.5,,5,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,20,,,,,,,,,,
far,vac/phy,2,BT-10,1698.4,9,6,5,10,,,,0.5,,,,,,,,,1,1,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,35,,,,15,,,,,,,,,70,
far,vac/phy,2,BT-10,1698.4,9,7,5,10,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,45,,,,1,,,,,,,,,80,
far,vac/phy,2,BT-10,1698.4,9,8,5,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,40,,,,5,,,,,,,,,70,
far,vac/phy,2,BT-10,1698.4,9,9,5,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,30,,,,15,,,,,,,,,60,
far,vac/phy,2,BT-10,1698.4,9,10,5,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10,,,,5,,,,,,,,,70,
near,phy/vac,2,BT-11,1723.8,6,1,6,11,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,10,,,,50,,,,,,,,5,1,
near,phy/vac,2,BT-11,1723.8,6,2,6,11,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,20,,,,30,,,,,,,,10,5,
near,phy/vac,2,BT-11,1723.8,6,3,6,11,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,25,,,,,,,,20,10,
near,phy/vac,2,BT-11,1723.8,6,4,6,11,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,25,,,,,,,,60,1,
near,phy/vac,2,BT-11,1723.8,6,5,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,80,1,10
near,phy/vac,2,BT-11,1723.8,6,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,5,,,,,,,,5,0.5,70
near,phy/vac,2,BT-11,1723.8,6,7,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,10,,,,,,25,,30,1,40
